codigo_producto,item_nombre,frecuencia_venta,promedio_diario,unidades_totales,precio_carta,costos,q_insumos,margen,categoria
2000015,MOJITO DE ARÁNDANOS,0.161,0.194,6,22.0,2.6792353106,8.0,19.3207646894,BEBIDA_INDIVIDUAL_ALC
2000016,MOJITO DE MARACUYÁ,0.387,0.677,21,22.0,3.0651390286266667,9.0,18.934860971373332,BEBIDA_INDIVIDUAL_ALC
2000017,MOJITO DE FRESA,0.323,0.581,18,22.0,2.647867454092,8.0,19.352132545908,BEBIDA_INDIVIDUAL_ALC
2000020,CHILCANO DE MARACUYÁ,0.161,0.194,6,22.0,2.85867356196,8.0,19.14132643804,BEBIDA_INDIVIDUAL_ALC
2000021,CHILCANO DE ARÁNDANOS,0.161,0.226,7,22.0,2.467439843933333,7.0,19.532560156066666,BEBIDA_INDIVIDUAL_ALC
2000033,SPARKLINGS DE FRESA,0.452,0.839,26,15.0,2.0197507497216667,7.0,12.980249250278334,BEBIDA_INDIVIDUAL_NO_ALC
2000034,SPARKLINGS DE MARACUYÁ,0.581,1.226,38,15.0,2.1892364918666667,7.0,12.810763508133334,BEBIDA_INDIVIDUAL_NO_ALC
2000035,SPARKLINGS DE ARÁNDANOS,0.71,1.194,37,15.0,2.078148296466667,7.0,12.921851703533333,BEBIDA_INDIVIDUAL_NO_ALC
2000039,SPARKLINGS DE FINAS HIERBAS,0.387,0.677,21,15.0,2.002068856666667,7.0,12.997931143333332,BEBIDA_INDIVIDUAL_NO_ALC
2000044,SANTIAGO QUEIROLO ROSÉ,0.29,0.516,16,48.0,13.0,1.0,35.0,BEBIDA_COMPARTIR_ALC
2000046,TACAMA ROSÉ,0.161,0.29,9,80.0,18.0,1.0,62.0,BEBIDA_COMPARTIR_ALC
2000048,INTIPALKA MALBEC,0.194,0.194,6,90.0,30.06,1.0,59.94,BEBIDA_COMPARTIR_ALC
2000048,INTIPALKA MALVEC,0.129,0.129,4,90.0,30.06,1.0,59.94,BEBIDA_COMPARTIR_ALC
2000050,INTIPALKA CABERNET SAUVIGNON,0.129,0.129,4,90.0,40.0,1.0,50.0,BEBIDA_COMPARTIR_ALC
2000051,CASILLERO DIABLO CABERNET SAUVIGNON,0.129,0.129,4,95.0,37.0,1.0,58.0,BEBIDA_COMPARTIR_ALC
2000054,NAVARRO CORREA MALBEC,0.129,0.161,5,110.0,48.0,1.0,62.0,BEBIDA_COMPARTIR_ALC
2000056,SANGRIA CLÁSICA JARRA,0.613,0.968,30,35.0,8.7355913681,7.0,26.2644086319,BEBIDA_COMPARTIR_ALC
2000056,SANGRÍA CLÁSICA JARRA,0.226,0.323,10,35.0,8.7355913681,7.0,26.2644086319,BEBIDA_COMPARTIR_ALC
2000057,SANGRIA CLÁSICA VASO,0.129,0.129,4,19.0,2.1824178681,7.0,16.8175821319,BEBIDA_INDIVIDUAL_ALC
2000058,SANGRÍA ESPAÑOLA JARRA,0.548,1.0,31,38.0,9.376339701433333,7.0,28.62366029856667,BEBIDA_COMPARTIR_ALC
2000059,SANGRÍA ESPAÑOLA VASO,0.452,0.677,21,20.0,2.3746445347666665,7.0,17.625355465233334,BEBIDA_INDIVIDUAL_ALC
2000060,VINO CALIENTE JARRA,0.742,1.935,60,40.0,9.692839701433334,8.0,30.307160298566664,BEBIDA_COMPARTIR_ALC
2000061,VINO CALIENTE COPA,0.452,0.871,27,21.0,2.5201445347666667,8.0,18.479855465233335,BEBIDA_INDIVIDUAL_ALC
2000062,LIMONADA CLÁSICA JARRA,1.0,18.161,563,19.0,1.8978818046,4.0,17.1021181954,BEBIDA_COMPARTIR_NO_ALC
2000063,LIMONADA CLÁSICA VASO,0.968,2.258,70,10.0,0.8345074023,4.0,9.1654925977,BEBIDA_INDIVIDUAL_NO_ALC
