codigo_producto,item_nombre,frecuencia_venta,promedio_diario,unidades_totales,precio_carta,costos,q_insumos,margen,categoria
1000042,CHULETA DE RES - 300 GR,1.0,43.387,1345,32.0,12.725064686,7.0,19.274935314,PLATO_FONDO_INDIVIDUAL
1000043,CHULETA DE CERDO,1.0,28.032,869,32.0,8.505064686,7.0,23.494935314,PLATO_FONDO_INDIVIDUAL
1000044,ALMUERZO PARRILLERO,0.742,15.258,473,25.0,10.204513186,6.0,14.795486814,ALMUERZOS
1000045,ALMUERZO ITALIANO,0.71,5.226,162,29.9,19.115471786,20.0,10.784528213999998,ALMUERZOS
1000046,ALMUERZO EJECUTIVO,0.71,14.581,452,29.9,15.630899186,17.0,14.269100813999998,ALMUERZOS
1000047,COSTILLA DE CERDO TRADICIONAL,1.0,12.387,384,35.0,10.647064686,7.0,24.352935314,PLATO_FONDO_INDIVIDUAL
1000048,COSTILLA DE BBQ VIKINGA,0.968,4.484,139,39.0,12.462662686,8.0,26.537337314,PLATO_FONDO_INDIVIDUAL
1000049,COSTILLAS EN SALSA DE MARACUYÁ,0.613,1.355,42,39.0,11.298757686,8.0,27.701242313999998,PLATO_FONDO_INDIVIDUAL
1000050,COSTILLA CERDO EN MIEL Y AJONJOLÍ,0.806,2.065,64,39.0,13.114064686,9.0,25.885935314,PLATO_FONDO_INDIVIDUAL
1000051,COSTILLA EN SALSA BÚFFALO,0.613,1.194,37,39.0,12.922099366,8.0,26.077900634000002,PLATO_FONDO_INDIVIDUAL
1000052,FESTIVAL DE COSTILLAS,0.71,1.806,56,69.0,26.574663808,11.0,42.425336192,PLATO_FONDO_INDIVIDUAL
1000053,TRÍO DE ALITAS,1.0,5.419,168,39.0,13.9044708,7.0,25.0955292,NIÑOS
1000054,ALITAS BBQ,1.0,6.323,196,35.0,11.8552698,6.0,23.144730199999998,NIÑOS
1000055,ALITAS HONEY MUSTARD,0.226,0.226,7,35.0,11.6950708,5.0,23.3049292,NIÑOS
1000056,ALITAS SALSA DE MARACUYÁ,0.419,0.677,21,35.0,11.1483173,6.0,23.851682699999998,NIÑOS
1000057,LOMO SALTADO,0.871,2.581,80,45.0,12.0646843,12.0,32.935315700000004,PLATO_FONDO_INDIVIDUAL
1000058,LOMO SALTADO EN SALSA HUANCAÍNA,0.935,1.774,55,48.0,15.0042717,20.0,32.995728299999996,PLATO_FONDO_INDIVIDUAL
1000059,LOMO MONTADO,0.871,2.065,64,47.0,12.3902516,13.0,34.6097484,PLATO_FONDO_INDIVIDUAL
1000060,SALCHIPAPA VIKINGA,1.0,12.29,381,35.0,16.39424,12.0,18.60576,NIÑOS
1000061,SALCHIPAPA CLÁSICA,0.806,1.613,50,29.0,7.91153,9.0,21.08847,NIÑOS
1000062,SALCHIPOLLO,0.839,1.29,40,32.0,11.63409,9.0,20.36591,NIÑOS
1000064,HAMBURGUESA VIKINGA,0.677,1.0,31,33.0,8.335767226,15.0,24.664232774,NIÑOS
1000065,HAMBURGUESA ROYAL,0.581,1.032,32,29.0,7.82068528,14.0,21.17931472,NIÑOS
1000066,HAMBURGUESA CLÁSICA,0.613,1.0,31,28.0,7.10118528,12.0,20.89881472,NIÑOS
1000067,PORCIÓN  PAPAS FRITAS,0.71,1.452,45,12.0,1.69244,4.0,10.30756,COMPLEMENTO_ADICIONAL
1000068,PORCIÓN  PAPAS AL GRILL,0.581,1.161,36,12.0,1.644862406,3.0,10.355137594,COMPLEMENTO_ADICIONAL
